0,0
39,10
8,11000
2,110010
29,110011
4,11010
30,110110000
38,1101100010
35,1101100011000000
34,1101100011000001
27,110110001100001
25,1101100011000100
24,1101100011000101
33,1101100011000110
28,1101100011000111
13,1101100011001000
15,11011000110010010
14,11011000110010011
6,110110001100101
21,11011000110011000
20,11011000110011001
23,11011000110011010
22,11011000110011011
17,11011000110011100
16,11011000110011101
19,11011000110011110
18,11011000110011111
5,110110001101
36,11011000111
10,11011001
7,11011010
12,110110110
37,110110111
9,11011100
31,110111010
26,110111011
32,11011110
3,11011111
1,1110
11,1111
